legacy_state_id	legacy_category	legacy_status	legacy_detail_level	legacy_option	legacy_description	new_entity	new_id	notes
ST-01	근태 현황	미출근	-	-	-	AttendanceStatus	ATS-01	
ST-02	근태 현황	결근	-	-	-	AttendanceStatus	ATS-02	
ST-03	근태 현황	지각	-	-	-	AttendanceStatus	ATS-03	
ST-04	근태 현황	이른퇴근	-	-	-	AttendanceStatus	ATS-04	
ST-05	근태 현황	휴가	-	-	-	AttendanceStatus	ATS-05	
ST-06	근무위치현황	사무실	-	-	-	WorkLocationStatus	LOC-01	
ST-07	근무위치현황	출장	-	-	-	WorkLocationStatus	LOC-02	
ST-08	근무위치현황	재택	-	-	-	WorkLocationStatus	LOC-03	
ST-09	근무위치현황	파견	-	-	-	WorkLocationStatus	LOC-04	
ST-10	근무위치현황	외근	-	-	-	WorkLocationStatus	LOC-05	
ST-11	근무 유형	기본 근무	기본 설정	근무형태명	근무 형태명, 계약 유형, 주휴일, 휴무일 설정	WorkTypeConfigSchema	WTC-0101	
ST-12	근무 유형	기본 근무	기본 설정	계약 유형	정규직/계약직&기간제	WorkTypeConfigSchema	WTC-0102	
ST-13	근무 유형	기본 근무	기본 설정	주휴일	월~일요일/없음 중 선택 가능	WorkTypeConfigSchema	WTC-0103	
ST-14	근무 유형	기본 근무	기본 설정	휴무일	월~일요일/없음 중 선택 가능	WorkTypeConfigSchema	WTC-0104	
ST-15	근무 유형	기본 근무	근무 설정	기준	일/주기준 선택 가능	WorkTypeConfigSchema	WTC-0105	
ST-16	근무 유형	기본 근무	근무 설정	소정근로시간	00시간00분 설정가능(법정 기준 선택시, 일기준 8시간 & 주기준 40시간으로 고정됨)	WorkTypeConfigSchema	WTC-0106	
ST-17	근무 유형	기본 근무	근무 설정	최대근로시간	00시간00분 설정가능	WorkTypeConfigSchema	WTC-0107	
ST-18	근무 유형	기본 근무	근무 설정	출근시간	00시간00분 설정가능	WorkTypeConfigSchema	WTC-0108	
ST-19	근무 유형	기본 근무	근무 설정	퇴근시간	00시간00분 설정가능	WorkTypeConfigSchema	WTC-0109	
ST-20	근무 유형	기본 근무	근무 설정	휴게시간	00시간00분 ~ 00시간00분 설정가능	WorkTypeConfigSchema	WTC-0110	
ST-21	근무 유형	시차 근무	기본 설정	근무형태명	근무 형태명, 계약 유형, 주휴일, 휴무일 설정	WorkTypeConfigSchema	WTC-0201	
ST-22	근무 유형	시차 근무	기본 설정	계약 유형	정규직/계약직&기간제	WorkTypeConfigSchema	WTC-0202	
ST-23	근무 유형	시차 근무	기본 설정	주휴일	월~일요일/없음 중 선택 가능	WorkTypeConfigSchema	WTC-0203	
ST-24	근무 유형	시차 근무	기본 설정	휴무일	월~일요일/없음 중 선택 가능	WorkTypeConfigSchema	WTC-0204	
ST-25	근무 유형	시차 근무	근무 설정	기준	일/주기준 선택 가능	WorkTypeConfigSchema	WTC-0205	
ST-26	근무 유형	시차 근무	근무 설정	소정근로시간	00시간00분 설정가능(법정 기준 선택시, 일기준 8시간 & 주기준 40시간으로 고정됨)	WorkTypeConfigSchema	WTC-0206	
ST-27	근무 유형	시차 근무	근무 설정	최대근로시간	00시간00분 설정가능	WorkTypeConfigSchema	WTC-0207	
ST-28	근무 유형	시차 근무	근무 설정	출근시간	00시간00분 ~ 00시간00분 설정가능	WorkTypeConfigSchema	WTC-0208	
ST-29	근무 유형	시차 근무	근무 설정	퇴근시간	00시간00분 ~ 00시간00분 설정가능	WorkTypeConfigSchema	WTC-0209	
ST-30	근무 유형	시차 근무	근무 설정	휴게시간	00시간00분 ~ 00시간00분 설정가능	WorkTypeConfigSchema	WTC-0210	
ST-31	근무 유형	선택 근무	기본 설정	근무형태명	근무 형태명, 계약 유형, 주휴일, 휴무일 설정	WorkTypeConfigSchema	WTC-0301	
ST-32	근무 유형	선택 근무	기본 설정	계약 유형	정규직/계약직&기간제	WorkTypeConfigSchema	WTC-0302	
ST-33	근무 유형	선택 근무	기본 설정	주휴일	월~일요일/없음 중 선택 가능	WorkTypeConfigSchema	WTC-0303	
ST-34	근무 유형	선택 근무	기본 설정	휴무일	월~일요일/없음 중 선택 가능	WorkTypeConfigSchema	WTC-0304	
ST-35	근무 유형	선택 근무	근무 설정	기준	주기준 + 주 시작 요일 월~일요일 중 선택 가능	WorkTypeConfigSchema	WTC-0305	
ST-36	근무 유형	선택 근무	근무 설정	소정근로시간	00시간00분 설정가능(법정 기준 선택시, 일기준 8시간 & 주기준 40시간으로 고정됨)	WorkTypeConfigSchema	WTC-0306	
ST-37	근무 유형	선택 근무	근무 설정	최대근로시간	00시간00분 설정가능	WorkTypeConfigSchema	WTC-0307	
ST-38	근무 유형	선택 근무	근무 설정	요일별 출퇴근시간 & 휴게시간	출퇴근 시간 및 휴게시간을 요일별 동일/상이하게 설정 가능	WorkTypeConfigSchema	WTC-0308	
ST-39	근무 유형	교대 근무	기본 설정	근무형태명	근무 형태명, 계약 유형, 주휴일, 휴무일 설정	WorkTypeConfigSchema	WTC-0401	
ST-40	근무 유형	교대 근무	기본 설정	계약 유형	정규직/계약직&기간제	WorkTypeConfigSchema	WTC-0402	
