feature_id,channel,actor,module,대메뉴,중메뉴,소메뉴,상세,기능 상세설명,상태키(state_keys),유효성 검사,핵심 계산 로직,데이터 항목,연관 기능(feature_ids),spec_id,owner,last_updated,change_note,notion_url,github_issue_url,github_pr_url,정책키(policy_keys),데이터 엔티티(data_entities),권한 기반 조회 범위,배경,입력(inputs),출력(outputs),요약
USR-WRK-1,웹,사용자,업무관리,업무관리,최상단 영역,구성원 및 일자 선택,날짜/대상 지정,특정 구성원을 선택하거나 조회하고자 하는 일자(기본값: 당일)를 캘린더 피커를 통해 변경함.,,미래 날짜 선택 제한 여부 확인 필요,-,,,,,,,,,,,,,,,,특정 구성원을 선택하거나 조회하고자 하는 일자(기본값: 당일)를 캘린더 피커를 통해 변경함.
USR-WRK-2,웹,사용자,업무관리,업무관리,사이드 영역,기본 정보,사용자 프로필 카드,"프로필 이미지, 현재 상태(연차 등 배지), 성명, 소속 부서 정보를 노출함. 근무 형태, 법정 근로 시간(8시간), 잔여 연차 정보를 함께 표시함.","연차, 근무중 등 상태 배지.",-,연차 정보: 총 연차(13.5) - 사용 연차(0).,,,,,,,,,,,,,,,,"프로필 이미지, 현재 상태(연차 등 배지), 성명, 소속 부서 정보를 노출함. 근무 형태, 법정 근로 시간(8시간), 잔여 연차 정보를 함께 표시함."
USR-WRK-3,웹,사용자,업무관리,업무관리,사이드 영역,근태 관리,출퇴근 시간 기록,"당일의 실제 출근 시간과 퇴근 시간을 표시하며, '이동기록 확인 >' 클릭 시 세부 위치 기록 팝업을 호출함.",,미출근 시 '-'로 표기.,-,,,,,,,,,,,,,,,,"당일의 실제 출근 시간과 퇴근 시간을 표시하며, '이동기록 확인 >' 클릭 시 세부 위치 기록 팝업을 호출함."
USR-WRK-4,웹,사용자,업무관리,업무관리,사이드 영역,일일 근로 시간,시간 통계 그래프,"오늘 근로 시간을 바 차트로 시각화함. 기본 근로, 연장, 야간, 휴일근무 시간을 개별적으로 집계하여 나열함.",,-,총 근로시간 = 기본 + 연장 + 야간 + 휴일,,,,,,,,,,,,,,,,"오늘 근로 시간을 바 차트로 시각화함. 기본 근로, 연장, 야간, 휴일근무 시간을 개별적으로 집계하여 나열함."
USR-WRK-5,웹,사용자,업무관리,업무관리,바디 영역,PC 사용 시간 현황,런처 감지 타임라인,09:00~18:00 사이의 실제 PC 사용 기록을 시계열 차트로 노출함. 런처 프로그램에서 수집된 활동 데이터를 기반으로 렌더링함.,,-,시간대별 PC 활성화 비중 계산.,,,,,,,,,,,,,,,,09:00~18:00 사이의 실제 PC 사용 기록을 시계열 차트로 노출함. 런처 프로그램에서 수집된 활동 데이터를 기반으로 렌더링함.
USR-WRK-6,웹,사용자,업무관리,업무관리,바디 영역,업무 등록 관리,업무 내역 테이블,"사용자가 직접 업무 형태, 프로젝트명, 상세 내용, 작업 시간을 입력함. '+ 추가' 버튼으로 행을 늘리거나 휴지통 아이콘으로 삭제 가능함.","업무, 회의, 외근 등 선택.",작업 시간 입력 시 0시간 0분 이상 필수,하단 합계: 입력된 각 행의 작업 시간 총합.,,,,,,,,,,,,,,,,"사용자가 직접 업무 형태, 프로젝트명, 상세 내용, 작업 시간을 입력함. '+ 추가' 버튼으로 행을 늘리거나 휴지통 아이콘으로 삭제 가능함."
USR-WRK-7,웹,사용자,업무관리,업무관리,바디 영역,업무 메모,자유 메모장,당일 업무와 관련된 특이사항을 자유롭게 기록하고 저장함.,,"최대 3,000자 제한.",-,,,,,,,,,,,,,,,,당일 업무와 관련된 특이사항을 자유롭게 기록하고 저장함.
USR-DSH-1,웹,사용자,대시보드,대시보드,-,-,-,-,,-,-,,,,,,,,,,,,,,,,-
USR-DSH-2,웹,사용자,대시보드,대시보드,-,-,-,-,,-,-,,,,,,,,,,,,,,,,-
USR-APR-1,웹,사용자,전자결재,전자결재,기안서 작성,기안서,-,-,,-,-,,,,,,,,,,,,,,,,-
